Thomas	NAM	Thomas
va	VER:pres	aller
à	PRP	à
l'	DET:ART	le
école	NOM	école
<segmentation/>
il	PRO:PER	il
fait	VER:pres	faire
toujours	ADV	toujours
de	PRP	de
la	DET:ART	le
rédaction	NOM	rédaction
.	SENT	.
Il	PRO:PER	il
a	VER:pres	avoir
toujours	ADV	toujours
"	PUN:cit	"
"	PUN:cit	"
faux	NOM	fau|faux
"	PUN:cit	"
"	PUN:cit	"
.	SENT	.
Sa	DET:POS	son
maman	NOM	maman
se	PRO:PER	se
coupe	VER:pres	couper
le	DET:ART	le
doigt	NOM	doigt
et	KON	et
il	PRO:PER	il
a	VER:pres	avoir
eu	VER:pper	avoir
juste	ADJ	juste
.	SENT	.
Le	DET:ART	le
dimanche	NOM	dimanche
suivant	VER:ppre	suivre
il	PRO:PER	il
balance	VER:pres	balancer
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
l'	DET:ART	le
escalier	NOM	escalier
.	SENT	.
Le	DET:ART	le
dimanche	NOM	dimanche
suivant	VER:ppre	suivre
il	PRO:PER	il
met	VER:pres	mettre
du	PRP:det	du
poison	NOM	poison
dans	PRP	dans
la	DET:ART	le
boite	NOM	boite
de	PRP	de
lait	NOM	lait
et	KON	et
son	DET:POS	son
père	NOM	père
faillit	VER:pres	faillir
mourir	VER:infi	mourir
.	SENT	.
Le	DET:ART	le
dimanche	NOM	dimanche
suivant	VER:ppre	suivre
il	PRO:PER	il
inonde	VER:pres	inonder
l'	DET:ART	le
appartement	NOM	appartement
des	PRP:det	du
voisins	NOM	voisin
d'	PRP	de
en	PRP	en
dessous	ADV	dessous
.	SENT	.
Le	DET:ART	le
dimanche	NOM	dimanche
suivant	VER:ppre	suivre
il	PRO:PER	il
met	VER:pres	mettre
un	DET:ART	un
pot	NOM	pot
sur	PRP	sur
son	DET:POS	son
balcon	NOM	balcon
et	KON	et
se	PRO:PER	se
dit	VER:pres	dire
<suggestion>
qu'	KON	que
avec	PRP	avec
</suggestion>
de	PRP	de
la	DET:ART	le
chance	NOM	chance
<segmentation/>
il	PRO:PER	il
pourrait	VER:cond	pouvoir
faire	VER:infi	faire
tomber	VER:infi	tomber
le	DET:ART	le
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
.	SENT	.
Il	PRO:PER	il
était	VER:impf	être
aux	PRP:det	au
toilettes	NOM	toilette
et	KON	et
il	PRO:PER	il
entend	VER:pres	entendre
un	NUM	un
"	PUN:cit	"
"	PUN:cit	"
aïe	INT	aïe
"	PUN:cit	"
"	PUN:cit	"
.	SENT	.
C'	PRO:DEM	ce
était	VER:impf	être
une	DET:ART	un
dame	NOM	dame
qui	PRO:REL	qui
s'	PRO:PER	se
était	VER:impf	être
pris	VER:pper	prendre
le	DET:ART	le
pot	NOM	pot
de	PRP	de
fleurs	NOM	fleur
<segmentation/>
<omission type=""sujet""/>
était	VER:impf	être
tombé	VER:pper	tomber
sur	PRP	sur
une	DET:ART	un
dame	NOM	dame
.	SENT	.
